sample_id,status,wall_time,spark_time,overhead,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.locality.wait,spark.network.timeout,spark.sql.autoBroadcastJoinThreshold,spark.sql.broadcastTimeout,spark.sql.shuffle.partitions,spark.sql.sources.parallelPartitionDiscovery.parallelism,spark.task.cpus,qt_q10,qt_q11,qt_q12,qt_q13,qt_q14a,qt_q14b,qt_q15,qt_q16,qt_q17,qt_q18,qt_q19,qt_q1,qt_q20,qt_q21,qt_q22,qt_q23a,qt_q23b,qt_q24a,qt_q24b,qt_q25,qt_q26,qt_q27,qt_q28,qt_q29,qt_q2,qt_q30,qt_q31,qt_q32,qt_q33,qt_q34,qt_q35,qt_q36,qt_q37,qt_q38,qt_q39a,qt_q39b,qt_q3,qt_q40,qt_q41,qt_q42,qt_q43,qt_q44,qt_q45,qt_q46,qt_q47,qt_q48,qt_q49,qt_q4,qt_q50,qt_q51,qt_q52,qt_q53,qt_q54,qt_q55,qt_q56,qt_q57,qt_q58,qt_q59,qt_q5,qt_q60,qt_q61,qt_q62,qt_q63,qt_q64,qt_q65,qt_q66,qt_q67,qt_q68,qt_q69,qt_q6,qt_q70,qt_q71,qt_q72,qt_q73,qt_q74,qt_q75,qt_q76,qt_q77,qt_q78,qt_q79,qt_q7,qt_q80,qt_q81,qt_q82,qt_q83,qt_q84,qt_q85,qt_q86,qt_q87,qt_q88,qt_q89,qt_q8,qt_q90,qt_q91,qt_q92,qt_q93,qt_q94,qt_q95,qt_q96,qt_q97,qt_q98,qt_q99,qt_q9,et_q10,et_q11,et_q12,et_q13,et_q14a,et_q14b,et_q15,et_q16,et_q17,et_q18,et_q19,et_q1,et_q20,et_q21,et_q22,et_q23a,et_q23b,et_q24a,et_q24b,et_q25,et_q26,et_q27,et_q28,et_q29,et_q2,et_q30,et_q31,et_q32,et_q33,et_q34,et_q35,et_q36,et_q37,et_q38,et_q39a,et_q39b,et_q3,et_q40,et_q41,et_q42,et_q43,et_q44,et_q45,et_q46,et_q47,et_q48,et_q49,et_q4,et_q50,et_q51,et_q52,et_q53,et_q54,et_q55,et_q56,et_q57,et_q58,et_q59,et_q5,et_q60,et_q61,et_q62,et_q63,et_q64,et_q65,et_q66,et_q67,et_q68,et_q69,et_q6,et_q70,et_q71,et_q72,et_q73,et_q74,et_q75,et_q76,et_q77,et_q78,et_q79,et_q7,et_q80,et_q81,et_q82,et_q83,et_q84,et_q85,et_q86,et_q87,et_q88,et_q89,et_q8,et_q90,et_q91,et_q92,et_q93,et_q94,et_q95,et_q96,et_q97,et_q98,et_q99,et_q9
1,complete,19054.98581624031,15218.968000000008,3836.0178162403026,109,15,84,13,9,24,2524,2,10874,248,18673,272,88,2,35.849,205.307,19.376,58.122,392.705,397.285,49.324,200.679,54.996,56.704,47.489,43.324,18.276,14.704,32.933,561.577,593.236,956.751,884.286,52.228,28.522,33.739,383.949,140.762,116.319,54.138,51.014,20.129,24.454,22.304,62.89,33.85,77.701,128.247,26.912,27.416,20.281,60.945,16.431,16.519,28.303,88.576,50.841,49.083,70.115,39.788,53.328,615.207,420.469,83.311,15.963,25.308,54.317,15.588,25.746,47.939,26.54,90.559,97.487,27.458,47.741,33.081,24.113,430.734,167.209,41.102,2032.041,37.86,30.386,31.941,60.289,26.959,155.049,18.697,165.012,251.131,98.017,28.302,600.503,31.206,35.517,124.753,50.74,136.955,20.86,27.684,38.253,25.039,124.742,167.28,26.692,36.978,29.744,52.517,18.162,863.469,185.431,443.739,41.875,178.053,20.913,51.115,259.485,76.41252994537354,244.63709950447083,57.680097579956055,94.39047932624817,430.1380681991577,433.61027693748474,86.25780367851257,236.13026666641235,92.69503855705261,95.3855972290039,85.02782106399536,80.96069145202637,55.66073942184448,50.379981994628906,70.49270486831665,597.5370357036591,630.5469098091125,993.8526318073273,920.2998945713043,90.49914908409119,65.48793053627014,71.52373909950256,421.7388927936554,178.6582386493683,153.45395016670227,91.76184701919556,88.2334852218628,57.901451110839844,61.46740508079529,59.9353666305542,100.16420316696167,71.93384909629822,113.98477387428284,165.25723004341125,62.30099296569824,64.44112777709961,56.464128255844116,97.10965871810913,54.00939226150513,52.21899652481079,65.3375985622406,124.93825650215149,87.68226861953735,85.95283079147339,106.97078847885132,77.28013777732849,90.51007580757141,651.7193877696991,458.1108088493347,122.1783881187439,53.83267521858215,63.73561382293701,92.63191819190979,53.22210073471069,63.20034050941467,85.92708396911621,64.22360801696777,127.39159440994263,134.5721619129181,64.83236050605774,85.10288548469543,69.29065036773682,61.43768572807312,468.5731031894684,206.123517036438,78.64329648017883,2069.335770845413,75.13314580917358,67.29362225532532,68.72838425636292,97.69331884384155,65.06059861183167,192.09650135040283,56.80306792259216,202.68001675605774,287.55873346328735,135.5681915283203,65.86397123336792,638.2689228057861,69.24094891548157,72.12279677391052,162.1034595966339,88.44650983810425,174.42948746681213,57.99866342544556,62.74981617927551,75.81424164772034,61.683979511260986,162.7331714630127,204.2229197025299,64.22489953041077,74.12548518180847,65.82047486305237,90.4009428024292,54.69958305358887,899.8375263214111,223.7834792137146,480.2957854270935,78.2042305469513,214.53329420089722,58.43567872047424,86.94995927810669,295.98025918006897
2,complete,15783.03018283844,12004.358,3778.6721828384398,931,14,119,23,7,41,472,1,5198,262,6668,800,16,2,32.503,175.234,17.333,54.427,277.354,250.033,42.671,159.521,47.791,54.043,45.019,42.909,18.212,13.972,34.968,460.06,499.586,563.302,531.553,42.072,29.861,32.035,307.058,99.645,94.927,46.966,48.471,19.32,24.387,21.69,53.72,30.586,55.258,95.366,26.537,26.516,19.22,43.562,12.392,15.619,25.61,71.574,53.462,46.086,57.473,36.688,49.547,472.49,247.48,75.86,16.512,23.485,53.351,16.805,26.158,46.63,23.638,69.737,96.662,26.71,47.683,28.358,22.21,288.355,120.354,42.3,2081.642,37.188,30.412,32.961,49.034,26.494,147.651,18.544,137.084,192.429,80.989,28.733,382.694,32.439,33.964,92.183,51.363,92.024,20.061,24.642,40.25,23.794,98.5,124.748,25.155,37.341,27.389,53.459,19.33,523.446,142.92,324.745,33.852,116.762,21.121,42.019,206.079,71.42279887199402,211.32429933547974,54.59136438369751,90.98693346977234,312.3028004169464,287.0383379459381,79.22988414764404,196.28864312171936,84.09606671333313,90.32421207427979,82.41131162643433,79.66570091247559,55.41807413101196,50.96618390083313,70.42898178100586,494.90417289733887,536.087290763855,599.4965763092041,569.1522490978241,79.65228414535522,66.84242129325867,69.2643768787384,344.4664876461029,137.08645725250244,132.3787031173706,82.91615414619446,85.1347873210907,56.319650650024414,61.48430299758911,59.00102496147156,90.45134902000427,66.44997692108154,92.61843276023865,132.94055151939392,63.606139183044434,63.759798526763916,56.93090796470642,80.05125999450684,48.45610237121582,52.16084003448486,61.508169174194336,108.45010352134705,90.07254123687744,82.76585555076599,94.23172092437744,73.43906855583191,85.7174756526947,508.9559769630432,284.62621665000916,112.3015022277832,53.00074028968811,60.753456592559814,90.14111757278442,53.888248443603516,62.03503441810608,84.0411741733551,59.475178718566895,105.58582592010498,132.1591968536377,62.827739000320435,83.87046504020691,65.55317640304565,59.31888008117676,324.4266269207001,157.16128253936768,79.2322256565094,2118.005311489105,74.314870595932,66.42277145385742,69.96230483055115,84.64503693580627,63.53072762489319,184.69544887542725,55.128575801849365,173.95990324020386,228.86563992500305,116.78609848022461,66.31688332557678,418.38900542259216,68.84919428825378,70.92051410675049,129.17208552360535,88.02876830101013,129.28172945976257,56.92869019508362,59.41480350494385,77.21296620368958,59.7492094039917,135.4947988986969,160.54231452941895,62.1241672039032,73.45506429672241,63.687488317489624,91.70667505264282,56.02118134498596,559.7789447307587,180.31722807884216,362.4587950706482,71.35679984092712,154.1449999809265,57.71022391319275,78.48080587387085,241.52176356315613
3,complete,17106.043384075165,13248.026000000003,3858.0173840751613,306,8,49,16,17,11,17777,2,1430,377,614,385,160,4,33.793,174.403,20.341,53.64,353.64,329.923,46.989,172.328,50.193,54.02,45.101,43.607,21.018,17.193,35.346,477.037,500.13,773.394,740.088,44.602,27.437,32.152,309.756,118.001,101.505,55.045,51.236,20.612,26.505,23.194,57.126,32.818,66.994,102.352,29.909,29.259,20.649,49.421,19.317,16.586,27.456,82.081,50.556,71.426,62.595,37.793,52.217,464.491,230.765,72.603,17.356,25.446,60.817,17.653,27.929,46.453,28.837,81.301,78.937,27.393,47.999,33.018,24.292,357.905,142.606,40.694,1915.65,65.473,31.858,32.743,52.432,27.363,125.802,18.421,142.065,214.613,88.549,29.796,465.937,57.744,33.874,105.19,55.776,116.544,24.09,26.637,39.427,25.33,98.784,146.866,26.674,37.409,30.388,54.383,19.258,768.232,156.198,353.737,40.353,142.264,23.382,48.853,218.652,73.02375531196594,211.22449469566345,56.85589265823364,90.80349826812744,390.79842734336853,368.69819164276123,84.0615644454956,209.31395602226257,87.4241144657135,91.30555605888367,82.13819575309753,80.3843641281128,58.10181999206543,54.48960590362549,73.1971595287323,514.1652362346649,537.9913876056671,810.6715681552887,778.5067503452301,83.60645198822021,64.13921189308167,69.59640002250671,346.28921341896057,156.5341112613678,140.04666137695312,92.95306658744812,88.66710376739502,57.51527285575867,64.2123212814331,60.18098211288452,95.23402309417725,69.26799821853638,104.74993062019348,139.9695885181427,66.15830445289612,66.16238141059875,58.34562301635742,86.40424180030823,57.35535931587219,53.01787233352661,65.21420192718506,119.76890301704407,88.27897214889526,109.76458168029785,99.34488415718079,74.58752727508545,90.00946593284607,502.5423991680145,268.98498702049255,109.70941185951233,53.670711517333984,63.35373568534851,98.68018198013306,54.5965621471405,65.46771955490112,83.61530900001526,66.70320534706116,118.53031420707703,116.47998213768005,63.964452505111694,84.96797204017639,70.5263900756836,61.86842679977417,396.5811107158661,180.27963590621948,78.46224284172058,1954.0167174339294,103.5676064491272,68.91797590255737,70.05501341819763,89.8964409828186,65.7050609588623,163.25042915344238,54.98112893104553,179.15366792678833,252.0572383403778,125.61902618408203,67.89073729515076,502.98364186286926,96.23864483833313,70.94299983978271,143.0791049003601,93.99450993537903,154.31354427337646,62.5705144405365,64.22035527229309,77.65933108329773,62.98017454147339,136.6798174381256,184.11307787895203,64.23974537849426,74.67576837539673,67.38599014282227,92.43352961540222,56.069620847702026,805.9304010868073,194.44482922554016,389.09999203681946,77.7573733329773,177.76227402687073,60.52304244041443,86.32051706314087,254.99680304527283
4,complete,18344.29799938202,14076.654,4267.643999382019,416,5,10,29,23,68,5329,2,28056,330,11173,257,45,3,31.246,154.43,17.683,52.472,301.05,268.982,44.569,151.682,46.561,51.258,47.6,41.933,17.207,14.505,33.22,451.799,479.035,871.549,807.05,40.892,27.095,32.886,281.62,103.409,96.475,47.836,48.265,19.465,25.495,22.769,52.061,30.751,59.709,90.498,26.389,25.929,19.105,46.224,16.223,16.515,25.747,74.442,48.954,44.862,57.129,38.503,49.449,448.204,256.873,67.826,16.522,23.138,59.686,16.415,26.093,42.651,25.274,70.008,88.848,30.214,47.333,29.692,21.375,785.24,122.856,39.407,2886.297,38.294,29.914,29.967,48.161,26.693,137.276,18.113,124.422,181.203,85.41,28.553,411.06,52.571,32.115,94.448,49.554,112.401,22.779,24.035,36.847,23.783,88.448,128.811,24.379,36.367,27.048,48.831,18.752,724.149,144.022,344.315,42.065,116.768,20.467,45.972,202.181,72.96694803237915,195.796941280365,59.21217322349548,93.72963380813599,342.50480604171753,310.58502769470215,85.59585165977478,193.0561399459839,88.50169348716736,92.69706130027771,89.09997177124023,83.3158016204834,57.695613861083984,55.13964104652405,74.59494256973267,493.1389377117157,520.9343259334564,913.5006935596466,849.8636603355408,83.40570569038391,68.78750658035278,74.16256046295166,322.95201873779297,143.97172284126282,138.61055731773376,88.67497658729553,89.75547885894775,60.354936599731445,66.81027793884277,64.19484376907349,93.47446346282959,71.93431878089905,101.12563967704773,132.14226269721985,68.05148243904114,67.01438498497009,59.61062288284302,87.41269183158875,57.46220397949219,57.69583034515381,66.90955424308777,115.17003750801086,90.39457106590271,86.31623888015747,98.79802775382996,79.74317717552185,90.74981665611267,489.5050959587097,299.1253294944763,109.60145711898804,57.998939990997314,63.838340044021606,100.98846483230591,57.615832805633545,67.28230261802673,84.39032483100891,66.92453980445862,111.19969916343689,130.33793115615845,71.68054008483887,88.74666404724121,71.00404071807861,62.7843062877655,827.1058623790741,164.42826914787292,81.15970659255981,2927.6365118026733,80.51607990264893,71.23436546325684,71.21123695373535,89.37382984161377,69.58836197853088,178.4865119457245,59.47283148765564,166.14246606826782,222.69913792610168,127.1847174167633,70.19933676719666,452.2528474330902,95.220782995224,72.68844556808472,135.67665004730225,91.2625846862793,153.82292866706848,64.66794395446777,65.15023565292358,78.72473502159119,64.9930067062378,129.69710421562195,169.96050810813904,65.71097254753113,77.6351671218872,67.59905195236206,89.77089786529541,59.79073143005371,765.2969012260437,186.68514704704285,387.0065805912018,84.7378101348877,156.941992521286,62.2762348651886,87.17808532714844,242.47023487091064
5,failed,4036.8585340976715,3138.1620000000003,898.6965340976712,488,4,81,4,11,22,4325,2,20322,686,24627,124,136,1,36.927,234.356,17.338,64.768,423.305,394.519,49.876,221.823,62.851,56.019,49.545,42.123,18.972,16.384,36.779,683.139,729.438,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,75.87100958824158,271.59510231018066,53.33802247047424,99.83247971534729,459.3579578399658,430.1216330528259,86.28738713264465,258.65873312950134,99.2095844745636,92.47422885894775,86.50149917602539,78.2458016872406,56.15343141555786,52.36888837814331,71.73662805557251,719.2007691860199,766.2757592201233,279.62934255599976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,complete,27444.335724830627,23690.43,3753.905724830627,608,12,88,15,4,38,12781,0,18886,248,16036,644,85,2,45.356,385.342,16.971,93.447,584.308,538.406,48.333,362.86,83.034,70.111,49.252,46.955,18.143,13.968,49.824,1090.407,1098.565,1306.966,1334.934,71.604,39.379,45.48,737.391,235.686,220.987,59.634,61.542,22.492,26.742,26.969,92.78,46.146,117.966,225.996,26.715,25.15,24.144,73.068,11.479,15.935,37.684,139.808,46.025,54.401,116.001,58.179,83.074,1231.926,637.814,135.42,17.062,30.899,62.109,17.041,26.58,77.363,26.052,142.518,162.874,30.984,50.087,40.467,28.654,707.867,287.996,62.761,2779.114,43.834,38.571,31.684,97.118,32.283,249.116,20.787,290.454,455.803,150.788,35.542,1001.142,45.696,53.341,201.242,60.856,224.79,19.75,40.596,52.461,33.541,202.554,282.037,35.7,38.572,36.682,47.618,20.824,1343.249,322.0,766.337,55.545,246.598,22.229,71.039,484.824,82.75295829772949,422.1042869091034,52.84054207801819,128.23359870910645,620.3643248081207,575.4782874584198,85.36873483657837,398.9721214771271,119.12558674812317,106.23368859291077,85.77890467643738,83.59203171730042,54.43850111961365,49.5587272644043,86.02144932746887,1127.1920611858368,1135.6610503196716,1345.067659854889,1372.2389345169067,109.36201596260071,75.22775864601135,80.22907543182373,774.3228361606598,272.0134642124176,255.84217929840088,96.60005331039429,97.56752228736877,57.82650709152222,62.368799686431885,63.39206528663635,128.816552400589,81.42288136482239,154.6879014968872,262.61186718940735,62.87061619758606,61.028968811035156,60.217406034469604,108.92159342765808,47.44117212295532,52.39892506599426,74.27029800415039,175.36523604393005,83.24581956863403,89.60512351989746,153.23364543914795,94.39860463142395,118.86188983917236,1268.0355515480042,675.0200843811035,172.89986968040466,53.43089509010315,67.79760503768921,98.59943127632141,53.17906856536865,62.4133665561676,113.18397068977356,62.451135873794556,179.82324695587158,199.31853795051575,68.10222673416138,85.73295021057129,77.35989212989807,64.46158003807068,744.6518087387085,324.674751996994,98.59992504119873,2815.4809081554413,80.59105086326599,75.06878447532654,69.3631751537323,131.54427337646484,69.87615537643433,285.55244040489197,58.130738973617554,325.4367673397064,493.04016041755676,187.0560691356659,72.52544689178467,1037.823767900467,82.59081602096558,89.90360045433044,237.6790533065796,97.41136932373047,261.78220295906067,56.331453800201416,76.35494780540466,88.61675572395325,71.12543988227844,238.72053456306458,318.40394020080566,72.98930597305298,75.58919906616211,73.39929294586182,85.90645599365234,57.92040705680847,1380.6741445064545,358.8204276561737,802.2102649211884,92.64490127563477,282.32938623428345,59.64729166030884,105.51847100257874,521.3644506931305
7,failed,4429.533887624741,3492.2549999999997,937.278887624741,1143,4,63,25,5,10,14667,3,19488,529,23450,256,142,3,41.405,281.36,16.818,73.486,465.654,444.546,45.28,253.472,68.915,63.096,46.037,45.826,17.791,14.279,38.337,750.766,825.187,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,79.59484457969666,318.4431221485138,52.6778244972229,109.35044312477112,501.7864525318146,479.77629590034485,82.55195307731628,288.8120050430298,105.11951541900635,99.60162997245789,82.67301440238953,81.43268013000488,54.34221696853638,50.43016338348389,75.10090613365173,786.3258612155914,861.4588272571564,320.0558898448944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,failed,4227.801162004471,3291.3269999999998,936.474162004471,145,13,99,23,6,32,5343,3,6750,680,15252,767,143,3,36.918,251.404,16.846,75.179,420.989,378.593,49.006,254.052,65.669,56.859,43.793,41.092,17.1,13.747,37.761,742.543,789.776,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,75.18307590484619,288.54164814949036,52.819199562072754,112.2450704574585,458.34687781333923,414.55521965026855,85.12175440788269,290.17298793792725,103.04120516777039,93.30671310424805,80.13956713676453,77.60705304145813,53.756887435913086,48.36260485649109,74.67374873161316,778.7854537963867,825.9064421653748,315.2353620529175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,complete,21053.631428956985,16792.22799999999,4261.403428956997,177,12,38,26,19,139,6896,1,25921,413,544,146,33,1,29.56,159.144,17.448,55.351,327.603,310.083,40.823,160.53,47.606,51.934,47.226,39.317,18.326,14.246,31.017,461.924,502.841,2256.235,2001.04,64.671,27.689,34.163,367.516,109.8,97.958,53.157,48.806,20.226,24.68,22.247,49.699,31.226,54.359,92.182,24.427,23.733,19.777,53.46,11.654,15.906,26.531,77.901,46.298,62.061,61.497,39.013,53.063,536.811,360.947,69.751,16.163,23.587,49.702,16.018,26.374,45.024,23.327,71.791,117.969,28.729,46.168,26.537,22.027,383.712,137.168,39.579,1991.592,56.988,28.114,30.431,50.9,26.287,206.775,18.242,128.802,190.983,82.398,27.603,543.595,54.537,35.141,105.77,51.608,74.407,20.033,22.442,38.78,23.644,92.932,130.563,24.971,42.78,25.079,51.058,19.412,1373.231,163.299,399.299,36.41,122.191,20.674,42.728,211.191,70.23395776748657,200.6366991996765,58.63465118408203,96.36993837356567,369.0868065357208,351.76039481163025,81.43322801589966,201.89778518676758,89.32250475883484,93.55750155448914,87.94738507270813,80.35285258293152,59.7319130897522,55.30558514595032,71.96636176109314,503.09788250923157,544.4224443435669,2298.329461336136,2043.596601486206,106.85153293609619,68.04423403739929,75.39168977737427,408.2920880317688,151.11212253570557,139.54728245735168,94.92798352241516,90.00647616386414,61.573495388031006,65.82523703575134,63.419151067733765,90.99735116958618,72.76376438140869,95.53128957748413,133.48481130599976,65.16838502883911,64.76148271560669,60.95376181602478,94.62633347511292,53.02622675895691,57.085702419281006,67.76587891578674,119.16584134101868,87.53393697738647,103.94207906723022,102.55876135826111,80.38503861427307,94.34869146347046,578.6974987983704,402.858345746994,111.76821660995483,57.61880397796631,64.82908535003662,90.53243899345398,57.37877321243286,67.29875946044922,86.33496737480164,65.06820106506348,112.95764565467834,159.3228075504303,70.11408352851868,87.57160711288452,67.74815464019775,63.36227893829346,425.6501567363739,179.34710025787354,81.03407311439514,2033.2028515338898,99.25120687484741,69.41847038269043,71.89382481575012,92.28299951553345,69.72994828224182,247.5234181880951,59.654541015625,169.87812399864197,232.27723956108093,123.62073254585266,68.70451951026917,585.1478567123413,96.7857129573822,76.2215690612793,146.68733763694763,93.28430676460266,116.13188862800598,61.54643201828003,62.84920811653137,80.05090737342834,65.01204872131348,134.3061351776123,171.89207124710083,66.07096433639526,83.77839374542236,66.66153335571289,92.4972984790802,60.65671730041504,1414.253598690033,205.52427744865417,440.9092893600464,78.05221581459045,162.92806148529053,62.42470049858093,84.03766870498657,252.21380972862244
10,complete,21134.252393722534,17364.057999999997,3770.194393722537,820,3,114,7,6,33,19823,3,29090,317,24065,1012,144,1,38.065,279.888,16.136,73.834,412.193,375.713,49.568,251.332,63.287,57.822,50.47,42.033,17.67,14.376,37.828,747.391,806.261,871.081,849.34,56.433,32.315,38.216,501.671,161.308,148.559,57.776,55.275,21.424,25.387,23.61,77.84,38.047,92.318,174.252,27.162,25.434,21.753,59.814,11.717,16.195,32.87,106.632,55.358,53.102,90.247,50.345,68.231,893.312,424.038,112.561,17.136,25.91,53.607,16.496,25.921,57.001,24.711,102.248,118.887,29.725,43.818,35.199,24.99,475.157,206.707,49.375,2403.213,40.526,34.108,29.941,73.172,30.831,184.233,19.215,218.479,307.857,113.933,31.534,669.305,39.287,42.034,144.9,57.089,152.192,19.919,31.466,45.33,27.92,163.324,199.894,29.082,37.795,32.485,51.194,19.211,809.33,218.982,534.442,45.889,180.636,21.326,56.025,333.581,76.41171884536743,317.1474702358246,52.247464656829834,109.12787747383118,448.45800375938416,411.25968885421753,85.3919608592987,287.13888907432556,99.54473185539246,94.48002529144287,87.12655997276306,77.52602434158325,54.82871723175049,50.17597031593323,73.40131974220276,784.6218590736389,842.0453069210052,908.358108997345,886.1505789756775,93.7240469455719,67.66688871383667,75.37791156768799,538.2012267112732,198.47401332855225,185.22971510887146,94.5669937133789,91.3375232219696,57.186707735061646,60.947930335998535,60.44304370880127,114.7179856300354,74.87133526802063,128.51462984085083,210.11656045913696,63.76648569107056,62.843849182128906,59.47593426704407,96.64025688171387,48.63337969779968,52.38539147377014,69.84728741645813,144.23197221755981,93.81806421279907,89.98939275741577,126.55052852630615,86.83551383018494,104.06683588027954,929.6514027118683,461.34258103370667,148.85815358161926,54.63985586166382,61.759360551834106,89.3737440109253,53.8941969871521,62.64713454246521,93.3825831413269,60.52664017677307,139.0634047985077,155.9006941318512,65.67363405227661,81.49298858642578,71.11364722251892,60.93695425987244,512.391416311264,244.04097890853882,84.868088722229,2439.700076818466,77.95892405509949,70.382493019104,64.62187957763672,110.04168963432312,69.01737594604492,220.66553473472595,54.63672995567322,254.20431423187256,344.8798429965973,150.0310287475586,67.8985242843628,706.867073059082,76.28323030471802,79.52339768409729,181.84468793869019,93.39711260795593,189.1509940624237,55.97596883773804,68.22224688529968,81.4050772190094,64.54243993759155,199.6017622947693,236.86297059059143,66.32708287239075,75.13571786880493,68.92622661590576,87.99867463111877,56.78036427497864,846.4086780548096,255.1731641292572,570.6174373626709,82.99609208106995,217.12518644332886,58.66450357437134,92.14652299880981,370.7743835449219
11,complete,19269.006173849106,15480.288999999988,3788.717173849118,630,9,98,32,3,76,5772,3,12761,341,17296,383,28,1,32.961,142.89,17.944,55.168,238.602,261.023,48.788,150.582,46.632,47.516,52.465,41.818,18.759,14.585,27.246,446.751,487.024,1902.855,1441.206,42.85,27.448,32.203,367.682,90.775,87.679,55.11,44.29,19.132,25.472,22.131,49.978,29.211,52.465,95.686,26.105,27.25,19.109,42.958,11.58,15.785,25.133,67.775,53.562,45.995,58.692,38.92,51.963,457.484,398.443,64.762,18.94,25.048,57.866,18.058,25.565,43.194,25.778,74.617,148.926,30.135,49.201,29.337,22.678,360.864,128.658,46.087,2056.3,38.148,29.946,30.672,51.443,28.192,255.052,20.051,142.471,171.791,93.437,28.216,399.703,49.535,39.765,91.225,55.791,106.978,20.851,23.249,45.747,22.402,96.615,128.625,26.307,37.805,26.284,49.934,20.655,1279.107,155.675,351.032,38.846,120.657,22.93,44.071,253.386,71.39428687095642,180.0473132133484,55.094290018081665,90.91582655906677,276.14046573638916,297.4986355304718,85.32269978523254,185.69851446151733,83.14827275276184,84.18999910354614,89.61790227890015,78.23578333854675,54.466593980789185,51.76172614097595,62.622886657714844,482.57089710235596,522.7698612213135,1938.8282070159912,1479.4348723888397,81.4180977344513,63.21021342277527,68.95041537284851,404.54434514045715,127.27086925506592,124.36942791938782,91.17416262626648,80.49190068244934,55.72459006309509,62.70979452133179,56.80022740364075,86.5505919456482,66.91537499427795,88.35466432571411,131.32564640045166,61.69129204750061,64.13187456130981,56.114656925201416,79.49718236923218,46.84654641151428,52.57337188720703,62.44595217704773,104.71110272407532,90.36590528488159,82.02308559417725,95.2948067188263,74.27330827713013,89.1124529838562,495.4002740383148,437.31160950660706,102.6059639453888,57.62065076828003,61.549466609954834,95.16004037857056,55.747678995132446,60.55795884132385,80.6534514427185,63.12610960006714,110.69319248199463,186.26421856880188,68.13460397720337,87.08546042442322,65.65387034416199,59.55741739273071,397.64796805381775,165.45271754264832,82.99195265769958,2091.685492038727,75.19101142883301,65.8365364074707,69.875821352005,88.92754244804382,67.03770565986633,292.0290937423706,56.111703395843506,178.5534632205963,209.21942281723022,131.19230556488037,65.62952852249146,436.25969338417053,88.33380913734436,74.40084767341614,128.58074235916138,92.71639800071716,143.3364772796631,58.16042971611023,60.36868214607239,83.44397234916687,59.537065505981445,133.92531824111938,164.6497824192047,62.55309796333313,74.00813698768616,62.91465783119202,86.77995872497559,56.59660291671753,1315.7684412002563,194.66593647003174,387.7305357456207,75.35806512832642,157.43240904808044,58.87269973754883,79.9329731464386,289.5223276615143
